Mods count: 59
 
jar name                                                                        | mod id (isMCreator)                      | mixin configs
            /META-INF/jars/yumi-commons-core-1.0.0-beta.4.jar                   | yumi_commons_core                        | 
            /META-INF/jars/yumi-commons-collections-1.0.0-beta.4.jar            | yumi_commons_collections                 | 
man_of_many_planes-0.2.1+1.21.1-neoforge.jar                                    | man_of_many_planes                       | man_of_many_planes-common.mixins.json, man_of_many_planes.mixins.json
    /META-INF/jars/MathParser.org-mXparser-5.2.1.jar                            |                                          | 
mans_waffle_expension-1.5.0-neoforge-1.21.1.jar                                 | mans_waffle_expension                    | 
marbledsfirstaid-1.21.1neo-1.2.0.1.jar                                          | marbledsfirstaid                         | 
modernfix-neoforge-5.24.3+mc1.21.1.jar                                          | modernfix                                | modernfix-common.mixins.json, modernfix-neoforge.mixins.json
MouseTweaks-neoforge-mc1.21-2.26.1.jar                                          | mousetweaks                              | mousetweaks-fabric.mixins.json, mousetweaks.mixins.json
notenoughcrashes-neoforge-4.4.9+1.21.1.jar                                      | notenoughcrashes                         | notenoughcrashes.forge.mixins.json, notenoughcrashes.mixins.json
reeses-sodium-options-neoforge-1.8.3+mc1.21.4.jar                               | reeses_sodium_options                    | reeses-sodium-options.mixins.json
reinforced-elytra-1.0.jar                                                       | mr_reinforced_elytra                     | 
skinlayers3d-neoforge-1.9.0-mc1.21.jar                                          | skinlayers3d                             | skinlayers3d.mixins.json
    /META-INF/jars/TRansition-1.0.4-1.21-neoforge-SNAPSHOT.jar                  | transition                               | transition.mixins.json
    /META-INF/jars/TRender-1.0.6-1.21-neoforge-SNAPSHOT.jar                     | trender                                  | trender.mixins.json
sodium-extra-neoforge-0.6.0+mc1.21.1.jar                                        | sodium_extra                             | sodium-extra.mixins.json
sodium-neoforge-0.6.13+mc1.21.1.jar                                             | sodium                                   | sodium-neoforge.mixins.json, sodium-common.mixins.json
    /META-INF/jarjar/fabric-api-base-0.4.42+d1308ded19.jar                      | fabric_api_base                          | 
    /META-INF/jarjar/fabric-rendering-data-attachment-v1-0.3.48+73761d2e19.jar  | fabric_rendering_data_attachment_v1      | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
    /META-INF/jarjar/fabric-renderer-api-v1-3.4.0+9c40919e19.jar                | fabric_renderer_api_v1                   | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
    /META-INF/jarjar/fabric-block-view-api-v2-1.0.10+9afaaf8c19.jar             | fabric_block_view_api_v2                 | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jarjar/net.caffeinemc.sodium-neoforge-0.6.13+mc1.21.1-service.jar |                                          | 
sound-physics-remastered-neoforge-1.21.1-1.5.1.jar                              | sound_physics_remastered                 | sound_physics_remastered.mixins.json
TerraBlender-neoforge-1.21.1-4.1.0.8.jar                                        | terrablender                             | terrablender_neoforge.mixins.json, terrablender.mixins.json
toms_storage-1.21-2.2.2.jar                                                     | toms_storage                             | 
ToughAsNails-neoforge-1.21.1-10.1.0.13.jar                                      | toughasnails                             | toughasnails.mixins.json, toughasnails.neoforge.mixins.json
trimeffects-neoforge-mc1.21-2.1.1.jar                                           | trimeffects                              | trimeffects.mixins.json
trimmable_tools-neoforge-1.21.1-2.0.5.jar                                       | trimmable_tools                          | trimmable_tools.mixins.json
trims-expanded-1.4.1.jar                                                        | mr_trims_expanded                        | 
voicechat-neoforge-1.21.1-2.6.4.jar                                             | voicechat                                | 
